Driver,LapNumber,Position,LapTime_sec,CummulativeTime_sec,SmoothedLapTime
PIA,1.0,1.0,98.344,3641.446,98.344
PIA,2.0,1.0,97.551,3738.997,97.94749999999999
PIA,3.0,1.0,97.689,3836.686,97.86133333333333
PIA,4.0,1.0,97.804,3934.49,97.68133333333333
PIA,5.0,1.0,98.082,4032.572,97.85833333333333
PIA,6.0,1.0,97.539,4130.111,97.80833333333332
PIA,7.0,1.0,97.898,4228.009,97.83966666666667
PIA,8.0,1.0,98.193,4326.202,97.87666666666667
PIA,9.0,1.0,98.199,4424.401,98.09666666666665
PIA,10.0,1.0,97.994,4522.395,98.12866666666666
PIA,11.0,1.0,98.124,4620.519,98.10566666666666
PIA,12.0,1.0,98.113,4718.632,98.077
PIA,13.0,1.0,97.955,4816.587,98.06400000000001
PIA,16.0,2.0,97.407,5134.15,97.825
PIA,17.0,1.0,96.89099999999999,5231.041,97.41766666666666
PIA,18.0,1.0,97.17099999999999,5328.212,97.15633333333334
PIA,19.0,1.0,97.211,5425.423,97.091
PIA,20.0,1.0,97.408,5522.831,97.26333333333332
PIA,21.0,1.0,97.985,5620.816,97.53466666666667
PIA,22.0,1.0,97.738,5718.554,97.71033333333332
PIA,23.0,1.0,97.232,5815.786,97.65166666666666
PIA,24.0,1.0,96.97,5912.756,97.31333333333333
PIA,25.0,1.0,97.185,6009.941,97.129
PIA,26.0,1.0,97.186,6107.127,97.11366666666667
PIA,27.0,1.0,97.112,6204.239,97.161
PIA,28.0,1.0,97.001,6301.24,97.09966666666666
PIA,29.0,1.0,96.533,6397.773,96.882
PIA,30.0,1.0,96.81,6494.583,96.78133333333334
PIA,31.0,1.0,96.662,6591.245,96.66833333333334
PIA,32.0,1.0,96.69800000000001,6687.943,96.72333333333334
PIA,33.0,1.0,96.449,6784.392,96.60300000000001
PIA,34.0,1.0,96.804,6881.196,96.65033333333334
PIA,35.0,1.0,96.64,6977.836,96.63100000000001
PIA,36.0,1.0,96.795,7074.631,96.74633333333333
PIA,37.0,1.0,96.69,7171.321,96.70833333333333
PIA,38.0,1.0,96.527,7267.848,96.67066666666666
PIA,39.0,1.0,96.2,7364.048,96.47233333333332
PIA,40.0,1.0,96.009,7460.057,96.24533333333333
PIA,41.0,1.0,96.02799999999999,7556.085,96.079
PIA,42.0,1.0,96.319,7652.404,96.11866666666667
PIA,43.0,1.0,96.366,7748.77,96.23766666666666
PIA,44.0,1.0,96.533,7845.303,96.406
PIA,45.0,1.0,96.674,7941.977,96.52433333333333
PIA,46.0,1.0,96.46000000000001,8038.437,96.55566666666668
PIA,47.0,1.0,96.13900000000001,8134.576,96.42433333333334
PIA,48.0,1.0,96.00200000000001,8230.578,96.20033333333335
